Site,B. appositus,B. kirbiellus,B. bifarius,B. frigidus,B. sylvicola
1,0.05,0.95,0.11,0.56,0.33
2,0.08,0.92,0.15,0.64,0.21
3,0.16,0.84,0.21,0.49,0.30
4,0.07,0.93,0.34,0.12,0.54
5,0.02,0.98,0.14,0.22,0.64
6,0.00,1.00,0.04,0.24,0.72
